School_ID,State,Year,Subject,ISBN
9,NSW,5,MATHEMATICS,9780190322830
9,NSW,5,ENGLISH,9781742373836
9,NSW,5,ENGLISH,9780733320194
10,VIC,5,MATHEMATICS,9781741353501
10,VIC,5,MATHEMATICS,9781741353006
10,VIC,5,MATHEMATICS,9781922116758
10,VIC,5,MATHEMATICS,9781920962425
10,VIC,5,MATHEMATICS,9780190323219
10,VIC,5,MATHEMATICS,9781741351804
10,VIC,5,MATHEMATICS,9781741351866
10,VIC,5,MATHEMATICS,9781876772482
6,VIC,5,ENGLISH,9780192732637
6,VIC,5,MATHEMATICS,9781741351804
6,VIC,5,ENGLISH,9781741351613
6,VIC,5,MATHEMATICS,9780190310745
6,VIC,5,ENGLISH,9780725334642
6,VIC,5,ENGLISH,9780143505730
6,VIC,5,SCIENCE,9780190310783
6,VIC,5,ENGLISH,9781925487459
6,VIC,5,ENGLISH,9780141319001
11,QLD,5,ENGLISH,9781741353402
11,QLD,5,ENGLISH,9780316382007
11,QLD,5,ENGLISH,9781741353501
13,NT,5,MATHEMATICS,9781741351866
15,NSW,5,MATHEMATICS,9781741351804
15,NSW,5,MATHEMATICS,9781741351866
16,NSW,5,LANGUAGES,9781876028572
16,NSW,5,LANGUAGES,9781876028589
16,NSW,5,ENGLISH,9781789181494
16,NSW,5,ENGLISH,9781107056060
16,NSW,5,MATHEMATICS,9780190322830
16,NSW,5,LANGUAGES,9789620435942
16,NSW,5,HISTORY,9780190310783
16,NSW,5,LANGUAGES,9789620435904
17,QLD,5,MATHEMATICS,9781920962425
17,QLD,5,ENGLISH,9780190320263
26,QLD,5,MATHEMATICS,9781741353402
26,QLD,5,MATHEMATICS,9781741351866
30,SA,5,MATHEMATICS,9781925487251
30,SA,5,RELIGIOUS EDUCATION,9780061441714
30,SA,5,ENGLISH,9780190303488
33,NSW,5,MATHEMATICS,9781741353402
33,NSW,5,ENGLISH,9781925487336
33,NSW,5,ENGLISH,9780987127181
33,NSW,5,MATHEMATICS,9789810730727
33,NSW,5,MATHEMATICS,9789810733001
35,NSW,5,MATHEMATICS,9781488621284
35,NSW,5,MATHEMATICS,9781488621291
36,QLD,5,ENGLISH,9781877085475
36,QLD,5,MATHEMATICS,9780733978593
37,NT,5,ENGLISH,9780190323219
37,NT,5,ENGLISH,9780760963647
37,NT,5,ENGLISH,9780076044863
37,NT,5,MATHEMATICS,9780980790535
37,NT,5,ENGLISH,9781743305775
3,VIC,6,HUMANITIES,9781486008070
3,VIC,6,HUMANITIES,9781741401738
3,VIC,6,ENGLISH,9780175117888
3,VIC,6,ENGLISH,9780160462702
3,VIC,6,COMPUTER SCIENCE,9781316779132
8,VIC,6,MATHEMATICS,9781925114300
8,VIC,6,MATHEMATICS,9781921535758
8,VIC,6,MATHEMATICS,9781921535758
8,VIC,6,MATHEMATICS,9781876081621
8,VIC,6,MATHEMATICS,9781876081638
